bin,n,predicted_mean,observed_win_rate,gap
0.5-0.6,81,0.54251516291015,0.48148148148148145,0.06103368142866855
0.6-0.7,42,0.652625731442398,0.47619047619047616,0.17643525525192183
0.7-0.8,22,0.7316960506958062,0.18181818181818182,0.5498778688776245
0.8-0.9,0,,,
0.9-1,0,,,
