trade_id,ordinal,phase,model_version,strategy,symbol,timestamp,expiry,horizon_seconds,direction,probability,outcome,gross_return,net_return,cost,session,regime,data_quality_score,reasons
mh-180-EURUSD-1788736800000,1,ADAPTIVE,mh-v1,BASELINE,EUR/USD,2026-09-06T23:20:00.000Z,2026-09-06T23:24:00.000Z,180,BUY,0.7239702637952354,DRAW,0,-0.00022000000000000003,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-GBPUSD-1788736800000,2,ADAPTIVE,mh-v1,BASELINE,GBP/USD,2026-09-06T23:20:00.000Z,2026-09-06T23:24:00.000Z,180,BUY,0.7156987419977716,LOSS,-0.000013491404388180684,-0.00023349140438818072,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-USDCAD-1788736800000,3,ADAPTIVE,mh-v1,BASELINE,USD/CAD,2026-09-06T23:20:00.000Z,2026-09-06T23:24:00.000Z,180,SELL,0.6203495529770537,LOSS,-0.00013012985235691016,-0.0003501298523569102,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-USDCHF-1788736800000,4,ADAPTIVE,mh-v1,BASELINE,USD/CHF,2026-09-06T23:20:00.000Z,2026-09-06T23:24:00.000Z,180,SELL,0.7073581387723769,LOSS,-0.00003702197581795198,-0.000257021975817952,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-USDJPY-1788736800000,5,ADAPTIVE,mh-v1,BASELINE,USD/JPY,2026-09-06T23:20:00.000Z,2026-09-06T23:24:00.000Z,180,SELL,0.7461993728923774,LOSS,-0.000012805097328025832,-0.00023280509732802587,0.00022000000000000003,ASIA,TREND_DOWN,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-EURUSD-1788736980000,6,ADAPTIVE,mh-v1,BASELINE,EUR/USD,2026-09-06T23:23:00.000Z,2026-09-06T23:27:00.000Z,180,BUY,0.7239702637952354,DRAW,0,-0.00022000000000000003,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-USDCAD-1788736980000,7,ADAPTIVE,mh-v1,BASELINE,USD/CAD,2026-09-06T23:23:00.000Z,2026-09-06T23:27:00.000Z,180,SELL,0.60505050061893,WIN,0.0002024747779263704,-0.000017525222073629646,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-GBPUSD-1788737160000,8,ADAPTIVE,mh-v1,BASELINE,GBP/USD,2026-09-06T23:26:00.000Z,2026-09-06T23:30:00.000Z,180,BUY,0.6013876962536299,WIN,0.000026983536867976784,-0.00019301646313202325,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-USDCHF-1788737160000,9,ADAPTIVE,mh-v1,BASELINE,USD/CHF,2026-09-06T23:26:00.000Z,2026-09-06T23:30:00.000Z,180,SELL,0.6077803144673999,WIN,0.00002473038543704148,-0.00019526961456295855,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
mh-180-EURUSD-1788737340000,10,ADAPTIVE,mh-v1,BASELINE,EUR/USD,2026-09-06T23:29:00.000Z,2026-09-06T23:33:00.000Z,180,BUY,0.7239702637952354,DRAW,0,-0.00022000000000000003,0.00022000000000000003,ASIA,RANGE,1,CLOSED_1M_SOURCE;CAUSAL_ENTRY;HORIZON_EMBARGO;EXPANDING_CAUSAL_CALIBRATION;STRATEGY_BASELINE
