bin,n,predicted_mean,observed_win_rate,gap
0.5-0.6,21,0.5737146132865858,0.3333333333333333,0.24038127995325248
0.6-0.7,41,0.6471690725508282,0.3902439024390244,0.2569251701118038
0.7-0.8,21,0.7285560038623256,0.3333333333333333,0.39522267052899224
0.8-0.9,0,,,
0.9-1,0,,,
