event_id,t0_iso,entry_price,A,B,C,D,price_t45,price_t60,A_45,A_60,B_45,B_60,C_45,C_60,D_45,D_60
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474930000,2026-09-15T12:22:13.409Z,0.984945,WAIT,WAIT,WAIT,WAIT,0.984825,0.984875,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474935000,2026-09-15T12:22:19.050Z,0.984945,WAIT,WAIT,WAIT,WAIT,0.984825,0.984815,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474940000,2026-09-15T12:22:23.130Z,0.984913,WAIT,WAIT,WAIT,WAIT,0.984882,0.984815,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474950000,2026-09-15T12:22:31.168Z,0.984965,WAIT,WAIT,WAIT,WAIT,0.984875,0.984815,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474955000,2026-09-15T12:22:35.737Z,0.984936,WAIT,WAIT,WAIT,WAIT,0.984815,0.984725,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474960000,2026-09-15T12:22:40.203Z,0.984965,WAIT,WAIT,WAIT,WAIT,0.984815,0.984705,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474965000,2026-09-15T12:22:46.061Z,0.984947,WAIT,WAIT,WAIT,WAIT,0.984815,0.984709,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474980000,2026-09-15T12:23:04.813Z,0.984825,WAIT,WAIT,WAIT,SELL,0.984666,0.984655,,,,,,,WIN,WIN
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474990000,2026-09-15T12:23:11.916Z,0.984882,WAIT,WAIT,WAIT,WAIT,0.984666,0.984685,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789474995000,2026-09-15T12:23:16.614Z,0.984875,WAIT,WAIT,WAIT,WAIT,0.984666,0.984685,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475010000,2026-09-15T12:23:31.306Z,0.984815,WAIT,WAIT,WAIT,SELL,0.984685,0.984706,,,,,,,WIN,WIN
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475015000,2026-09-15T12:23:39.937Z,0.984735,WAIT,WAIT,WAIT,WAIT,0.984712,0.984685,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475020000,2026-09-15T12:23:42.139Z,0.984705,WAIT,WAIT,WAIT,WAIT,0.984675,0.984755,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475025000,2026-09-15T12:23:46.858Z,0.984709,WAIT,WAIT,WAIT,WAIT,0.984706,0.984755,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475040000,2026-09-15T12:24:04.306Z,0.984665,WAIT,WAIT,WAIT,WAIT,0.984755,0.984805,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475045000,2026-09-15T12:24:08.606Z,0.9846,WAIT,WAIT,WAIT,WAIT,0.984755,0.984805,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475055000,2026-09-15T12:24:18.151Z,0.984685,WAIT,WAIT,WAIT,WAIT,0.984805,0.984715,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475060000,2026-09-15T12:24:24.318Z,0.984715,WAIT,WAIT,WAIT,WAIT,0.984805,0.984635,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475065000,2026-09-15T12:24:28.401Z,0.984675,WAIT,WAIT,WAIT,WAIT,0.984805,0.9846,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475075000,2026-09-15T12:24:37.596Z,0.984706,WAIT,WAIT,WAIT,WAIT,0.984705,0.984525,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475080000,2026-09-15T12:24:40.013Z,0.984685,WAIT,WAIT,WAIT,WAIT,0.984635,0.984525,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475110000,2026-09-15T12:25:13.675Z,0.984805,WAIT,WAIT,WAIT,WAIT,0.984525,0.98471,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475115000,2026-09-15T12:25:18.124Z,0.9847,WAIT,WAIT,WAIT,SELL,0.984545,0.984745,,,,,,,WIN,LOSS
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475120000,2026-09-15T12:25:23.416Z,0.984705,WAIT,WAIT,WAIT,WAIT,0.984587,0.984649,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475125000,2026-09-15T12:25:28.133Z,0.984635,WAIT,WAIT,WAIT,WAIT,0.98471,0.984655,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475130000,2026-09-15T12:25:32.828Z,0.984585,WAIT,WAIT,WAIT,WAIT,0.984745,0.984655,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475160000,2026-09-15T12:26:03.690Z,0.984545,WAIT,WAIT,WAIT,WAIT,0.98476,0.984625,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475165000,2026-09-15T12:26:08.077Z,0.984595,WAIT,WAIT,WAIT,WAIT,0.98476,0.98465,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475170000,2026-09-15T12:26:13.706Z,0.98471,WAIT,WAIT,WAIT,WAIT,0.98476,0.984625,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475175000,2026-09-15T12:26:18.435Z,0.984745,WAIT,WAIT,WAIT,WAIT,0.984625,0.984655,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475180000,2026-09-15T12:26:22.884Z,0.984675,WAIT,WAIT,WAIT,SELL,0.98465,0.984685,,,,,,,WIN,LOSS
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475185000,2026-09-15T12:26:29.756Z,0.984655,WAIT,WAIT,WAIT,WAIT,0.984627,0.984595,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475190000,2026-09-15T12:26:32.942Z,0.984655,WAIT,WAIT,WAIT,WAIT,0.984642,0.984655,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475200000,2026-09-15T12:26:40.280Z,0.9846,WAIT,WAIT,WAIT,WAIT,0.984575,0.984735,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475220000,2026-09-15T12:27:04.018Z,0.984625,WAIT,WAIT,WAIT,WAIT,0.984735,0.984848,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475230000,2026-09-15T12:27:14.529Z,0.984625,WAIT,WAIT,WAIT,WAIT,0.984735,0.984945,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475235000,2026-09-15T12:27:18.380Z,0.984642,WAIT,WAIT,WAIT,WAIT,0.984848,0.984945,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475240000,2026-09-15T12:27:23.260Z,0.984685,WAIT,WAIT,WAIT,WAIT,0.984848,0.985024,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475245000,2026-09-15T12:27:29.249Z,0.984585,WAIT,WAIT,WAIT,WAIT,0.984945,0.985075,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475250000,2026-09-15T12:27:33.192Z,0.984655,WAIT,WAIT,WAIT,WAIT,0.984945,0.985125,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475255000,2026-09-15T12:27:38.429Z,0.984615,WAIT,WAIT,WAIT,WAIT,0.985024,0.985055,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475280000,2026-09-15T12:28:02.799Z,0.984735,WAIT,WAIT,WAIT,WAIT,0.985166,0.985137,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475290000,2026-09-15T12:28:13.684Z,0.984855,WAIT,WAIT,WAIT,WAIT,0.985166,0.985165,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475300000,2026-09-15T12:28:22.894Z,0.98499,WAIT,WAIT,WAIT,WAIT,0.985145,0.985115,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475305000,2026-09-15T12:28:27.756Z,0.985092,WAIT,WAIT,WAIT,WAIT,0.985165,0.985045,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475310000,2026-09-15T12:28:32.720Z,0.985105,WAIT,WAIT,WAIT,WAIT,0.985165,0.985045,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475315000,2026-09-15T12:28:39.672Z,0.985055,WAIT,WAIT,WAIT,WAIT,0.985116,0.985035,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475320000,2026-09-15T12:28:43.463Z,0.985055,WAIT,WAIT,WAIT,WAIT,0.985045,0.984985,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475325000,2026-09-15T12:28:46.184Z,0.985035,WAIT,WAIT,WAIT,WAIT,0.985045,0.984985,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475340000,2026-09-15T12:29:04.135Z,0.985137,WAIT,WAIT,WAIT,WAIT,0.984985,0.984985,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475345000,2026-09-15T12:29:09.574Z,0.985145,WAIT,WAIT,WAIT,WAIT,0.984985,0.984965,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475350000,2026-09-15T12:29:11.764Z,0.985106,WAIT,WAIT,WAIT,WAIT,0.984985,0.984965,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475360000,2026-09-15T12:29:23.799Z,0.985115,WAIT,WAIT,WAIT,WAIT,0.984965,0.985125,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475365000,2026-09-15T12:29:26.220Z,0.985116,WAIT,WAIT,WAIT,WAIT,0.984965,0.98513,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475370000,2026-09-15T12:29:34.896Z,0.985045,WAIT,WAIT,WAIT,WAIT,0.985117,0.9851,,,,,,,,
vision_d2f30682-ff19-4879-91e5-89b50bcdca4a:1789475375000,2026-09-15T12:29:38.847Z,0.985045,WAIT,WAIT,WAIT,WAIT,0.985125,0.984677,,,,,,,,
