# session
group,n,wins,losses,win_rate,net_return,net_ev,coverage
ROLLOVER,30,14,9,0.6086956521739131,-0.00013831,-0.05084414,0.857143
SYDNEY,63,26,22,0.5416666666666666,-0.00580341,-0.03576450,0.851351
TOKYO,252,111,120,0.4805194805194805,-0.02966491,-0.04037862,0.865979
LONDON,191,83,87,0.48823529411764705,-0.01628405,-0.10584325,0.936275
LONDON_NEW_YORK_OVERLAP,116,62,47,0.5688073394495413,-0.00788411,-0.11990028,0.920635
NEW_YORK,216,86,99,0.4648648648648649,-0.02374140,-0.12917566,0.864000
