# regime
group,n,wins,losses,win_rate,net_return,net_ev,coverage
BREAKOUT_UP,150,60,82,0.4225352112676056,-0.01733030,-0.08272522,0.877193
LOW_VOLATILITY,511,220,208,0.514018691588785,-0.05207651,-0.08650784,0.881034
RANGE,22,12,8,0.6,-0.00120239,-0.17095724,0.956522
BREAKOUT_DOWN,147,69,70,0.49640287769784175,-0.01104775,-0.08167542,0.880240
TREND_DOWN,8,7,1,0.875,0.00267222,0.04514667,1.000000
TRANSITION,26,11,14,0.44,-0.00485692,-0.14387300,0.962963
TREND_UP,4,3,1,0.75,0.00032546,-0.05479385,1.000000
