variant,description,n,wins,losses,win_rate,net_return,net_ev,coverage,status
FULL_CURRENT,causal momentum + volatility,341,160,141,0.53156146179402,-0.06882926,-0.09089370,0.869898,TEST_B
NO_HIGH_VOLATILITY,session/regime gate removes HIGH_VOLATILITY,341,160,141,0.53156146179402,-0.06882926,-0.09089370,0.869898,TEST_B
NO_LOW_VOLATILITY,session/regime gate removes LOW_VOLATILITY,140,66,68,0.4925373134328358,-0.02820437,-0.08882070,0.858896,TEST_B
TREND_AND_BREAKOUT_ONLY,only TREND_* and BREAKOUT_* regimes,120,56,60,0.4827586206896552,-0.02422787,-0.08673609,0.863309,TEST_B
LONDON_NY_ONLY,session gate,202,97,85,0.532967032967033,-0.04019915,-0.09137105,0.874459,TEST_B
MTF_CONFIRMATION_FILTER,causal 5m + 15m context agrees with direction (diagnostic; not retrofitted into the signal),57,27,26,0.5094339622641509,-0.01230695,-0.08681380,1.000000,TEST_B
SMC_FVG,feature not present in Yahoo historical payload; no invented ablation,,,,,,,,NOT_AVAILABLE
SMC_ORDER_BLOCK,feature not present in Yahoo historical payload; no invented ablation,,,,,,,,NOT_AVAILABLE
SMC_BOS_CHOCH,feature not present in Yahoo historical payload; no invented ablation,,,,,,,,NOT_AVAILABLE
LIQUIDITY,feature not present in Yahoo historical payload; no invented ablation,,,,,,,,NOT_AVAILABLE
OFI_CVD,feature not present in Yahoo historical payload; no invented ablation,,,,,,,,NOT_AVAILABLE
MACRO,feature not present in Yahoo historical payload; no invented ablation,,,,,,,,NOT_AVAILABLE
SPREAD_QUANTILE,feature not present in Yahoo historical payload; no invented ablation,,,,,,,,NOT_AVAILABLE
