trade_id,strategy_version,asset,decision,confidence,reference_timestamp_iso,settlement_target_iso,settlement_observed_iso,result,created_iso
shadow-trend-v1_1789408665000_b0dqea,shadow-trend-v1,EUR/NZD,SELL,0.7051621257215683,2026-09-14T17:57:48.350Z,2026-09-14T17:58:48.350Z,2026-09-14T17:59:13.200Z,WIN,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409140000_13jcvs,shadow-trend-v1,EUR/NZD,BUY,0.6400845142243827,2026-09-14T18:05:43.378Z,2026-09-14T18:06:43.378Z,2026-09-14T18:06:56.815Z,WIN,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409055000_wktj21,shadow-trend-v1,EUR/NZD,BUY,0.7248615342131542,2026-09-14T18:04:18.218Z,2026-09-14T18:05:18.218Z,2026-09-14T18:05:31.504Z,WIN,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409000000_2qae05,shadow-trend-v1,EUR/NZD,BUY,0.85,2026-09-14T18:03:23.050Z,2026-09-14T18:04:23.050Z,2026-09-14T18:04:26.569Z,LOSS,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409085000_w1dwga,shadow-trend-v1,EUR/NZD,BUY,0.6354817220954109,2026-09-14T18:04:48.965Z,2026-09-14T18:05:48.965Z,2026-09-14T18:05:50.301Z,WIN,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789408970000_zzhno6,shadow-trend-v1,EUR/NZD,BUY,0.85,2026-09-14T18:02:51.645Z,2026-09-14T18:03:51.645Z,2026-09-14T18:04:00.675Z,LOSS,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409045000_lwnd8u,shadow-trend-v1,EUR/NZD,BUY,0.7674707508614598,2026-09-14T18:04:09.233Z,2026-09-14T18:05:09.233Z,2026-09-14T18:05:10.051Z,LOSS,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409245000_yinz3e,shadow-trend-v1,EUR/NZD,BUY,0.6406504042351998,2026-09-14T18:07:29.010Z,2026-09-14T18:08:29.010Z,2026-09-14T18:08:34.719Z,LOSS,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409065000_zvaisw,shadow-trend-v1,EUR/NZD,BUY,0.6898411740450846,2026-09-14T18:04:26.569Z,2026-09-14T18:05:26.569Z,2026-09-14T18:05:31.504Z,WIN,2026-09-14T18:19:42.749Z
shadow-trend-v1_1789409130000_cny28p,shadow-trend-v1,EUR/NZD,BUY,0.6098601849492201,2026-09-14T18:05:31.504Z,2026-09-14T18:06:31.504Z,2026-09-14T18:06:56.815Z,WIN,2026-09-14T18:19:42.749Z
