bin,n,predicted_mean,observed_win_rate,gap
0.5-0.6,81,0.5469093319417572,0.4567901234567901,0.09011920848496707
0.6-0.7,48,0.64800854979963,0.3125,0.33550854979962996
0.7-0.8,22,0.7281444951834128,0.2727272727272727,0.45541722245614014
0.8-0.9,0,,,
0.9-1,0,,,
